,exp_name,env_name,seed,metric,env_step,value
0,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,25000.0,2.9
1,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,50000.0,4.8
2,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,75000.0,3.1
3,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,100000.0,3.5
4,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,125000.0,24.6
5,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,150000.0,7.6
6,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,175000.0,3.1
7,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,200000.0,3.2
8,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,225000.0,33.6
9,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,250000.0,27.4
10,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,275000.0,8.9
11,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,300000.0,8.8
12,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,325000.0,22.7
13,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,350000.0,3.0
14,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,375000.0,9.3
15,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,400000.0,19.9
16,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,425000.0,106.0
17,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,450000.0,204.6
18,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,475000.0,298.4
19,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,500000.0,609.6
20,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,525000.0,564.2
21,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,550000.0,160.5
22,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,575000.0,836.8
23,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,600000.0,272.9
24,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,625000.0,1127.3
25,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,650000.0,1394.2
26,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,675000.0,1165.2
27,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,700000.0,1558.5
28,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,725000.0,1564.3
29,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,750000.0,826.7
30,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,775000.0,892.9
31,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,800000.0,1480.6
32,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,825000.0,740.6
33,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,850000.0,1330.9
34,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,875000.0,1572.5
35,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,900000.0,1356.5
36,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,925000.0,1566.7
37,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,950000.0,1439.6
38,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,975000.0,1565.2
39,fog,pick-out-of-hole-v2-goal-observable,25,avg_return,1000000.0,940.6
40,fog,humanoid-stand,24,avg_return,25000.0,3.9
41,fog,humanoid-stand,24,avg_return,50000.0,5.3
42,fog,humanoid-stand,24,avg_return,75000.0,4.7
43,fog,humanoid-stand,24,avg_return,100000.0,4.0
44,fog,humanoid-stand,24,avg_return,125000.0,5.6
45,fog,humanoid-stand,24,avg_return,150000.0,80.6
46,fog,humanoid-stand,24,avg_return,175000.0,315.8
47,fog,humanoid-stand,24,avg_return,200000.0,409.5
48,fog,humanoid-stand,24,avg_return,225000.0,431.2
49,fog,humanoid-stand,24,avg_return,250000.0,590.4
50,fog,humanoid-stand,24,avg_return,275000.0,828.0
51,fog,humanoid-stand,24,avg_return,300000.0,815.2
52,fog,humanoid-stand,24,avg_return,325000.0,807.3
53,fog,humanoid-stand,24,avg_return,350000.0,899.8
54,fog,humanoid-stand,24,avg_return,375000.0,898.6
55,fog,humanoid-stand,24,avg_return,400000.0,912.9
56,fog,humanoid-stand,24,avg_return,425000.0,548.8
57,fog,humanoid-stand,24,avg_return,450000.0,799.8
58,fog,humanoid-stand,24,avg_return,475000.0,869.4
59,fog,humanoid-stand,24,avg_return,500000.0,907.4
60,fog,humanoid-stand,24,avg_return,525000.0,915.7
61,fog,humanoid-stand,24,avg_return,550000.0,941.2
62,fog,humanoid-stand,24,avg_return,575000.0,861.1
63,fog,humanoid-stand,24,avg_return,600000.0,914.8
64,fog,humanoid-stand,24,avg_return,625000.0,635.6
65,fog,humanoid-stand,24,avg_return,650000.0,889.5
66,fog,humanoid-stand,24,avg_return,675000.0,876.7
67,fog,humanoid-stand,24,avg_return,700000.0,887.7
68,fog,humanoid-stand,24,avg_return,725000.0,931.7
69,fog,humanoid-stand,24,avg_return,750000.0,918.6
70,fog,humanoid-stand,24,avg_return,775000.0,936.8
71,fog,humanoid-stand,24,avg_return,800000.0,940.8
72,fog,humanoid-stand,24,avg_return,825000.0,722.6
73,fog,humanoid-stand,24,avg_return,850000.0,885.9
74,fog,humanoid-stand,24,avg_return,875000.0,934.7
75,fog,humanoid-stand,24,avg_return,900000.0,931.5
76,fog,humanoid-stand,24,avg_return,925000.0,930.0
77,fog,humanoid-stand,24,avg_return,950000.0,936.7
78,fog,humanoid-stand,24,avg_return,975000.0,940.3
79,fog,humanoid-stand,24,avg_return,1000000.0,941.3
80,fog,HalfCheetah-v4,22,avg_return,25000.0,4427.4
81,fog,HalfCheetah-v4,22,avg_return,50000.0,5421.6
82,fog,HalfCheetah-v4,22,avg_return,75000.0,5905.6
83,fog,HalfCheetah-v4,22,avg_return,100000.0,6756.1
84,fog,HalfCheetah-v4,22,avg_return,125000.0,7165.5
85,fog,HalfCheetah-v4,22,avg_return,150000.0,7798.6
86,fog,HalfCheetah-v4,22,avg_return,175000.0,8521.9
87,fog,HalfCheetah-v4,22,avg_return,200000.0,8449.5
88,fog,HalfCheetah-v4,22,avg_return,225000.0,8729.9
89,fog,HalfCheetah-v4,22,avg_return,250000.0,8661.0
90,fog,HalfCheetah-v4,22,avg_return,275000.0,8847.6
91,fog,HalfCheetah-v4,22,avg_return,300000.0,9316.5
92,fog,HalfCheetah-v4,22,avg_return,325000.0,9414.8
93,fog,HalfCheetah-v4,22,avg_return,350000.0,9717.7
94,fog,HalfCheetah-v4,22,avg_return,375000.0,9891.4
95,fog,HalfCheetah-v4,22,avg_return,400000.0,10042.1
96,fog,HalfCheetah-v4,22,avg_return,425000.0,8883.6
97,fog,HalfCheetah-v4,22,avg_return,450000.0,10012.0
98,fog,HalfCheetah-v4,22,avg_return,475000.0,9829.0
99,fog,HalfCheetah-v4,22,avg_return,500000.0,10103.8
100,fog,HalfCheetah-v4,22,avg_return,525000.0,10121.2
101,fog,HalfCheetah-v4,22,avg_return,550000.0,10215.9
102,fog,HalfCheetah-v4,22,avg_return,575000.0,10307.8
103,fog,HalfCheetah-v4,22,avg_return,600000.0,10304.3
104,fog,HalfCheetah-v4,22,avg_return,625000.0,8543.8
105,fog,HalfCheetah-v4,22,avg_return,650000.0,9834.1
106,fog,HalfCheetah-v4,22,avg_return,675000.0,9938.7
107,fog,HalfCheetah-v4,22,avg_return,700000.0,10195.8
108,fog,HalfCheetah-v4,22,avg_return,725000.0,10186.0
109,fog,HalfCheetah-v4,22,avg_return,750000.0,10051.9
110,fog,HalfCheetah-v4,22,avg_return,775000.0,9803.7
111,fog,HalfCheetah-v4,22,avg_return,800000.0,10045.1
112,fog,HalfCheetah-v4,22,avg_return,825000.0,8545.8
113,fog,HalfCheetah-v4,22,avg_return,850000.0,10275.3
114,fog,HalfCheetah-v4,22,avg_return,875000.0,10022.9
115,fog,HalfCheetah-v4,22,avg_return,900000.0,10387.8
116,fog,HalfCheetah-v4,22,avg_return,925000.0,10146.8
117,fog,HalfCheetah-v4,22,avg_return,950000.0,10207.9
118,fog,HalfCheetah-v4,22,avg_return,975000.0,10317.5
119,fog,HalfCheetah-v4,22,avg_return,1000000.0,10513.6
120,fog,h1-reach-v0,35,avg_return,25000.0,1204.2
121,fog,h1-reach-v0,35,avg_return,50000.0,760.8
122,fog,h1-reach-v0,35,avg_return,75000.0,133.6
123,fog,h1-reach-v0,35,avg_return,100000.0,1258.7
124,fog,h1-reach-v0,35,avg_return,125000.0,600.8
125,fog,h1-reach-v0,35,avg_return,150000.0,544.5
126,fog,h1-reach-v0,35,avg_return,175000.0,1284.5
127,fog,h1-reach-v0,35,avg_return,200000.0,787.2
